id,date,open,close,high,low,volume,code
183,2020/10/9,14.9,15.31,15.38,14.8,276122,2405
184,2020/10/12,15.4,15.73,15.79,15.32,296561,2405
185,2020/10/13,15.74,15.71,15.8,15.5,184215,2405
186,2020/10/14,15.71,15.62,16.02,15.51,242913,2405
187,2020/10/15,15.7,15.55,15.81,15.52,159649,2405
188,2020/10/16,15.52,15.22,15.6,15.09,213500,2405
189,2020/10/19,15.03,15.06,15.3,15.02,156792,2405
190,2020/10/20,15.01,15.26,15.28,14.92,160127,2405
191,2020/10/21,15.3,15.06,15.31,14.95,151467,2405
192,2020/10/22,15.02,15.06,15.17,14.86,107248,2405
193,2020/10/23,15.11,14.83,15.19,14.81,155120,2405
194,2020/10/26,14.82,14.74,14.93,14.65,130682,2405
195,2020/10/27,14.68,14.72,14.84,14.63,106666,2405
196,2020/10/28,14.7,14.48,14.75,14.13,254017,2405
197,2020/10/29,14.3,14.67,14.78,14.2,182581,2405
198,2020/10/30,14.55,14.2,14.75,14.18,217834,2405
